record,created_at
22.4*2*23.5,2024-07-27 19:56:53
22.4*2*23.2,2024-07-27 20:13:29
22.3*2*23.1,2024-07-27 20:16:12
22.3*2*23.1,2024-07-27 20:24:44
22.3*2*23.0,2024-07-27 20:33:20
22.2*2*22.8,2024-07-27 20:36:11
22.1*2*22.3,2024-07-27 20:53:34
22.0*2*22.0,2024-07-27 21:03:15
21.8*2*21.6,2024-07-27 21:29:21
21.8*2*21.5,2024-07-27 21:33:31
21.6*2*21.4,2024-07-27 21:51:20
21.5*2*21.4,2024-07-27 22:00:00
21.4*2*21.3,2024-07-27 22:20:28
20.9*2*21.1,2024-07-27 22:56:33
20.9*2*21.2,2024-07-27 23:04:47
20.8*2*21.2,2024-07-27 23:10:20
20.4*2*21.1,2024-07-27 23:50:19
20.2*2*20.7,2024-07-28 00:14:42
20.2*2*20.6,2024-07-28 00:23:15
19.4*2*20.0,2024-07-28 02:26:54
19.2*2*20.2,2024-07-28 02:47:55
19.2*2*20.2,2024-07-28 03:00:43
19.0*2*19.7,2024-07-28 03:28:41
19.0*2*19.8,2024-07-28 03:32:04
20.0*2*21.5,2024-07-28 06:06:22
20.3*2*22.1,2024-07-28 06:15:56
22.0*2*23.0,2024-07-28 07:11:19
24.1*2*24.7,2024-07-28 09:14:54
24.3*2*24.9,2024-07-28 15:00:44
27.2*2*26.8,2024-07-28 21:00:42
22.2*2*22.8,2024-07-29 03:00:51
20.9*2*21.1,2024-07-29 09:00:45
24.3*2*25.0,2024-07-29 15:00:54
25.6*2*25.5,2024-07-29 21:00:44
21.5*2*22.8,2024-07-30 03:00:47
21.1*2*21.8,2024-07-30 09:00:43
23.5*2*24.7,2024-07-30 15:00:55
23.7*2*24.3,2024-07-30 21:00:46
21.1*2*22.2,2024-07-31 03:00:44
20.6*2*21.5,2024-07-31 09:00:45
24.6*2*23.7,2024-07-31 15:00:53
20.0*2*20.2,2024-07-31 21:00:42
18.3*2*18.7,2024-08-01 03:00:45
17.1*2*17.7,2024-08-01 09:00:43
25.5*2*26.0,2024-08-01 12:41:00
25.7*2*26.6,2024-08-01 15:00:44
25.0*2*21.7,2024-08-01 21:00:49
20.0*2*19.5,2024-08-02 03:00:47
19.3*2*20.5,2024-08-03 05:18:54
19.4*2*20.8,2024-08-03 09:00:45
26.4*2*27.0,2024-08-03 13:13:12
26.5*2*27.2,2024-08-03 15:00:44
26.1*2*24.8,2024-08-03 21:00:48
22.4*2*21.5,2024-08-04 03:00:45
20.6*2*19.9,2024-08-04 09:00:44
24.1*2*25.5,2024-08-04 15:00:53
25.8*2*25.1,2024-08-04 21:00:43
22.2*2*21.3,2024-08-05 03:00:48
27.1*2*27.7,2024-08-05 13:05:10
35.4*2*22.8,2024-09-06 09:00:44
35.3*2*22.5,2024-09-06 21:00:44
35.5*2*26.9,2024-09-12 15:06:37
31.2*2*20.1,2024-09-15 09:00:42
33.9*2*28.0,2024-09-15 11:47:59
33.9*2*27.7,2024-09-15 15:00:46
33.5*2*25.0,2024-09-15 21:00:42
32.3*2*22.4,2024-09-16 03:00:47
31.6*2*20.4,2024-09-16 09:00:43
33.8*2*29.1,2024-09-16 15:00:52
2*2*21.7,2024-09-16 21:00:45
32.2*2*21.4,2024-09-17 03:00:44
31.2*2*19.6,2024-09-17 09:00:43
33.4*2*26.2,2024-09-17 13:53:26
33.5*2*25.7,2024-09-17 15:00:43
33.6*2*24.2,2024-09-17 21:00:49
32.8*2*21.4,2024-09-18 03:00:49
32.1*2*20.0,2024-09-18 09:00:45
34.9*2*30.7,2024-09-18 10:24:13
35.1*2*30.4,2024-09-18 15:00:44
35.3*2*27.1,2024-09-18 21:00:44
33.1*2*23.2,2024-09-19 03:00:44
32.5*2*20.8,2024-09-19 09:00:43
34.1*2*28.8,2024-09-19 15:00:47
33.9*2*25.2,2024-09-19 21:00:47
32.8*2*22.6,2024-09-20 03:00:44
31.9*2*19.1,2024-09-20 09:00:43
31.9*2*23.1,2024-09-20 15:00:52
33.1*2*21.9,2024-09-20 19:39:09
33.1*2*22.0,2024-09-20 21:00:43
32.9*2*22.3,2024-09-20 21:39:36
32.9*2*22.1,2024-09-20 21:59:08
32.9*2*22.1,2024-09-21 03:00:43
32.4*2*20.7,2024-09-21 09:00:50
33.9*2*28.3,2024-09-21 15:00:44
2*2*21.4,2024-09-21 21:00:43
31.4*2*20.5,2024-09-22 03:00:55
31.7*2*19.6,2024-09-22 09:00:43
35.2*2*28.7,2024-09-22 13:31:30
35.4*2*28.5,2024-09-22 15:00:44
35.0*2*26.0,2024-09-22 21:00:51
32.7*2*21.9,2024-09-23 03:00:43
32.3*2*21.6,2024-09-23 09:00:47
30.0*2*20.6,2024-09-23 15:00:55
33.8*2*23.8,2024-09-23 21:00:45
32.5*2*21.0,2024-09-24 03:00:44
31.8*2*19.9,2024-09-24 09:00:42
33.4*2*28.9,2024-09-24 15:00:55
35.2*2*26.6,2024-09-24 21:00:48
32.9*2*22.1,2024-09-25 03:00:43
32.7*2*20.4,2024-09-25 09:00:45
33.4*2*27.7,2024-09-25 15:00:53
33.2*2*20.5,2024-09-25 21:00:50
33.1*2*21.7,2024-09-26 03:00:43
33.1*2*19.7,2024-09-26 09:00:45
33.9*2*26.4,2024-09-26 15:00:54
34.7*2*26.0,2024-09-26 21:00:47
33.4*2*22.1,2024-09-27 03:00:42
34.8*2*27.1,2024-09-27 09:58:25
34.8*2*27.3,2024-09-27 15:00:48
34.7*2*25.5,2024-09-27 21:00:48
33.6*2*22.6,2024-09-28 03:00:44
33.2*2*20.3,2024-10-01 14:37:14
33.4*2*20.5,2024-10-01 15:00:44
33.3*2*21.2,2024-10-01 21:00:47
33.1*2*21.8,2024-10-02 03:00:48
