record,created_at
84.5*2*85.3,2024-07-28 00:23:15
84.8*2*87.6,2024-07-28 02:26:54
84.7*2*87.0,2024-07-28 02:47:55
84.8*2*87.3,2024-07-28 03:00:43
85.0*2*89.0,2024-07-28 03:28:41
84.9*2*89.3,2024-07-28 03:32:04
87.4*2*87.7,2024-07-28 06:06:22
87.4*2*86.9,2024-07-28 06:15:56
87.0*2*86.0,2024-07-28 07:11:19
87.4*2*82.1,2024-07-28 09:14:54
87.1*2*81.1,2024-07-28 15:00:44
86.2*2*71.8,2024-07-28 21:00:42
84.0*2*84.0,2024-07-29 03:00:51
86.5*2*92.0,2024-07-29 09:00:45
87.2*2*80.4,2024-07-29 15:00:54
84.1*2*77.8,2024-07-29 21:00:44
84.3*2*83.8,2024-07-30 03:00:47
85.3*2*90.5,2024-07-30 09:00:43
86.4*2*82.7,2024-07-30 15:00:55
85.2*2*76.6,2024-07-30 21:00:46
85.4*2*88.5,2024-07-31 03:00:44
86.7*2*89.0,2024-07-31 09:00:45
86.2*2*88.0,2024-07-31 15:00:53
86.4*2*92.6,2024-07-31 21:00:42
90.2*2*95.8,2024-08-01 03:00:45
91.7*2*97.1,2024-08-01 09:00:43
90.3*2*78.9,2024-08-01 12:41:00
90.1*2*74.2,2024-08-01 15:00:44
87.3*2*80.8,2024-08-01 21:00:49
88.5*2*94.0,2024-08-02 03:00:47
89.2*2*89.6,2024-08-03 05:18:54
89.1*2*90.8,2024-08-03 09:00:45
84.8*2*64.7,2024-08-03 13:13:12
81.5*2*61.6,2024-08-03 15:00:44
82.3*2*75.9,2024-08-03 21:00:48
84.2*2*91.9,2024-08-04 03:00:45
85.4*2*95.8,2024-08-04 09:00:44
87.1*2*74.6,2024-08-04 15:00:53
79.3*2*67.7,2024-08-04 21:00:43
82.3*2*87.7,2024-08-05 03:00:48
83.1*2*51.3,2024-08-05 13:05:10
88.3*2*83.9,2024-09-06 09:00:44
82.9*2*99.7,2024-09-06 21:00:44
79.6*2*71.3,2024-09-12 15:06:37
76.1*2*94.6,2024-09-15 09:00:42
85.2*2*68.1,2024-09-15 11:47:59
83.9*2*68.9,2024-09-15 15:00:46
81.7*2*73.6,2024-09-15 21:00:42
80.9*2*86.9,2024-09-16 03:00:47
78.3*2*95.0,2024-09-16 09:00:43
84.2*2*67.9,2024-09-16 15:00:52
2*2*88.2,2024-09-16 21:00:45
81.7*2*79.7,2024-09-17 03:00:44
78.4*2*94.2,2024-09-17 09:00:43
86.5*2*74.1,2024-09-17 13:53:26
84.6*2*77.0,2024-09-17 15:00:43
84.1*2*84.1,2024-09-17 21:00:49
82.2*2*90.4,2024-09-18 03:00:49
78.0*2*95.8,2024-09-18 09:00:45
80.5*2*59.1,2024-09-18 10:24:13
83.1*2*57.5,2024-09-18 15:00:44
85.5*2*63.9,2024-09-18 21:00:44
81.0*2*78.3,2024-09-19 03:00:44
80.8*2*89.1,2024-09-19 09:00:43
81.4*2*65.0,2024-09-19 15:00:47
81.3*2*75.4,2024-09-19 21:00:47
82.1*2*84.1,2024-09-20 03:00:44
82.0*2*99.9,2024-09-20 09:00:43
74.3*2*82.9,2024-09-20 15:00:52
79.9*2*86.7,2024-09-20 19:39:09
81.2*2*86.4,2024-09-20 21:00:43
82.0*2*87.1,2024-09-20 21:39:36
81.2*2*88.7,2024-09-20 21:59:08
81.2*2*88.7,2024-09-21 03:00:43
82.8*2*92.9,2024-09-21 09:00:50
84.8*2*71.6,2024-09-21 15:00:44
2*2*87.5,2024-09-21 21:00:43
81.6*2*90.3,2024-09-22 03:00:55
81.1*2*96.8,2024-09-22 09:00:43
83.7*2*71.2,2024-09-22 13:31:30
83.9*2*70.9,2024-09-22 15:00:44
84.7*2*73.8,2024-09-22 21:00:51
78.0*2*87.7,2024-09-23 03:00:43
83.0*2*88.2,2024-09-23 09:00:47
82.1*2*94.5,2024-09-23 15:00:55
85.2*2*83.1,2024-09-23 21:00:45
77.4*2*91.9,2024-09-24 03:00:44
78.3*2*92.2,2024-09-24 09:00:42
84.2*2*63.8,2024-09-24 15:00:55
84.4*2*68.6,2024-09-24 21:00:48
81.1*2*83.9,2024-09-25 03:00:43
83.0*2*92.7,2024-09-25 09:00:45
80.5*2*65.8,2024-09-25 15:00:53
87.9*2*97.6,2024-09-25 21:00:50
85.9*2*94.9,2024-09-26 03:00:43
82.6*2*99.9,2024-09-26 09:00:45
80.2*2*71.5,2024-09-26 15:00:54
85.2*2*76.4,2024-09-26 21:00:47
84.1*2*87.2,2024-09-27 03:00:42
84.9*2*75.9,2024-09-27 09:58:25
83.7*2*74.4,2024-09-27 15:00:48
85.2*2*73.3,2024-09-27 21:00:48
83.8*2*87.2,2024-09-28 03:00:44
87.0*2*99.9,2024-10-01 14:37:14
87.1*2*99.9,2024-10-01 15:00:44
87.7*2*98.7,2024-10-01 21:00:47
83.7*2*93.2,2024-10-02 03:00:48
82.2*2*97.1,2024-10-02 09:00:47
87.1*2*78.2,2024-10-02 12:38:18
87.2*2*79.2,2024-10-02 15:00:43
86.7*2*85.2,2024-10-02 16:38:13
82.1*2*85.8,2024-10-02 16:40:53
84.2*2*86.1,2024-10-02 17:20:45
86.3*2*86.4,2024-10-02 17:23:12
86.2*2*86.4,2024-10-02 17:24:41
85.3*2*85.8,2024-10-02 17:27:57
85.7*2*86.8,2024-10-02 17:29:51
86.2*2*86.2,2024-10-02 17:34:18
86.8*2*86.5,2024-10-02 17:36:33
86.8*2*86.8,2024-10-02 17:39:57
86.8*2*86.3,2024-10-02 17:41:29
86.4*2*86.2,2024-10-02 17:43:28
86.0*2*86.5,2024-10-02 17:58:21
85.8*2*86.5,2024-10-02 18:01:20
85.0*2*86.4,2024-10-02 18:06:07
85.8*2*86.2,2024-10-02 21:00:58
83.0*2*90.6,2024-10-03 03:00:57
84.2*2*96.0,2024-10-03 15:00:54
85.5*2*74.4,2024-10-03 21:01:03
81.8*2*85.2,2024-10-04 03:00:57
80.7*2*85.7,2024-10-04 09:00:53
82.3*2*77.3,2024-10-04 12:48:16
82.2*2*77.4,2024-10-04 12:54:39
82.4*2*76.5,2024-10-04 15:00:54
82.8*2*74.8,2024-10-04 21:01:01
81.6*2*81.6,2024-10-05 03:00:53
80.4*2*92.0,2024-10-05 09:00:54
80.4*2*82.7,2024-10-05 15:01:03
83.0*2*80.6,2024-10-05 21:00:53
83.6*2*86.6,2024-10-06 03:00:54
76.7*2*95.1,2024-10-06 09:00:53
79.9*2*84.5,2024-10-06 15:01:03
81.5*2*84.4,2024-10-06 21:01:08
79.5*2*94.5,2024-10-07 03:00:56
75.8*2*95.7,2024-10-07 09:00:57
82.6*2*73.3,2024-10-07 15:01:04
81.6*2*81.1,2024-10-07 21:00:58
81.4*2*94.2,2024-10-08 03:00:58
73.0*2*95.5,2024-10-08 09:00:58
80.6*2*83.3,2024-10-08 15:01:06
85.3*2*76.2,2024-10-08 21:01:01
82.4*2*89.3,2024-10-09 03:00:55
75.9*2*91.0,2024-10-09 09:00:56
82.5*2*73.0,2024-10-09 15:01:07
82.3*2*71.7,2024-10-09 21:01:00
80.8*2*88.8,2024-10-10 03:00:55
77.6*2*96.1,2024-10-10 09:00:55
80.2*2*79.4,2024-10-10 15:01:07
82.3*2*78.9,2024-10-10 21:01:02
78.3*2*89.2,2024-10-11 03:00:56
73.4*2*2,2024-10-11 09:00:55
83.4*2*64.6,2024-10-11 15:01:05
83.6*2*76.8,2024-10-11 21:00:57
76.6*2*87.2,2024-10-12 03:00:56
73.5*2*88.2,2024-10-12 09:00:55
79.6*2*79.0,2024-10-12 15:01:05
83.2*2*73.8,2024-10-12 21:01:02
76.9*2*87.8,2024-10-13 03:00:54
71.5*2*92.3,2024-10-13 09:00:56
82.4*2*66.3,2024-10-13 15:01:06
80.9*2*69.6,2024-10-13 21:00:55
77.4*2*86.3,2024-10-14 03:01:00
73.7*2*89.0,2024-10-14 09:00:56
78.3*2*80.2,2024-10-14 15:01:06
85.4*2*66.7,2024-10-14 21:00:56
78.8*2*87.1,2024-10-15 03:00:56
73.2*2*92.9,2024-10-15 09:00:56
84.4*2*67.7,2024-10-15 15:01:06
83.2*2*76.4,2024-10-15 21:00:57
78.7*2*92.7,2024-10-16 03:00:55
70.7*2*98.3,2024-10-16 09:00:56
85.1*2*91.4,2024-10-16 13:06:29
80.1*2*94.4,2024-10-17 17:16:56
83.1*2*95.6,2024-10-17 19:46:22
83.5*2*95.5,2024-10-17 21:00:55
82.8*2*85.9,2024-10-18 03:00:59
76.9*2*86.3,2024-10-18 06:36:39
77.6*2*86.4,2024-10-18 09:00:54
81.1*2*81.2,2024-10-18 15:00:56
84.1*2*84.6,2024-10-18 21:00:55
81.0*2*94.2,2024-10-19 03:00:53
76.9*2*96.6,2024-10-19 09:01:03
85.3*2*72.2,2024-10-19 15:00:54
85.9*2*83.6,2024-10-19 21:00:53
80.7*2*95.1,2024-10-29 03:00:53
75.6*2*99.7,2024-10-29 09:00:57
85.0*2*76.4,2024-10-29 12:53:11
85.0*2*76.8,2024-10-29 15:00:58
86.9*2*81.6,2024-10-29 21:01:02
82.9*2*90.0,2024-10-30 03:00:55
75.6*2*90.3,2024-10-30 09:00:56
87.0*2*64.0,2024-10-30 11:51:06
87.0*2*63.4,2024-10-30 15:00:56
88.7*2*68.6,2024-10-30 21:00:53
81.1*2*88.7,2024-10-31 03:00:59
74.2*2*94.9,2024-10-31 09:00:53
83.0*2*81.8,2024-10-31 15:01:05
86.9*2*83.6,2024-10-31 21:00:54
81.5*2*90.3,2024-11-01 03:00:54
74.2*2*94.4,2024-11-01 09:00:55
75.4*2*84.4,2024-11-01 15:01:03
85.0*2*77.7,2024-11-01 21:00:53
81.6*2*89.8,2024-11-02 03:01:00
80.0*2*80.7,2024-11-02 09:03:10
80.6*2*79.2,2024-11-02 15:00:54
83.1*2*85.9,2024-11-02 21:00:59
80.3*2*88.8,2024-11-03 03:00:55
82.3*2*78.6,2024-11-03 09:20:48
82.0*2*78.6,2024-11-03 15:01:02
84.9*2*80.4,2024-11-03 21:00:58
80.7*2*89.6,2024-11-04 03:00:55
76.9*2*97.9,2024-11-04 09:27:06
83.4*2*91.1,2024-11-04 15:46:58
83.2*2*91.2,2024-11-04 21:00:55
78.5*2*97.1,2024-11-05 03:01:00
77.5*2*99.7,2024-11-05 09:00:54
82.2*2*75.9,2024-11-05 10:46:48
82.6*2*75.3,2024-11-05 15:00:55
85.1*2*76.6,2024-11-05 21:00:55
82.5*2*96.1,2024-11-06 03:00:55
78.0*2*99.1,2024-11-06 09:00:54
79.3*2*71.2,2024-11-06 15:01:02
83.2*2*79.3,2024-11-06 21:00:56
82.8*2*90.8,2024-11-07 03:00:54
80.9*2*94.3,2024-11-07 09:00:55
82.0*2*70.8,2024-11-07 15:01:05
85.6*2*87.5,2024-11-07 16:11:01
84.6*2*87.7,2024-11-07 21:01:02
85.3*2*96.2,2024-11-08 03:00:54
80.8*2*98.6,2024-11-08 09:00:54
82.0*2*67.0,2024-11-08 15:00:53
82.2*2*91.5,2024-11-08 18:46:04
82.2*2*91.5,2024-11-08 21:00:57
81.3*2*91.1,2024-11-09 03:01:01
80.1*2*95.4,2024-11-09 09:00:54
84.3*2*55.7,2024-11-09 15:00:53
88.0*2*64.6,2024-11-09 21:01:05
79.4*2*76.7,2024-11-10 03:00:58
76.5*2*82.9,2024-11-10 09:00:53
84.3*2*63.4,2024-11-10 15:00:53
83.8*2*82.8,2024-11-10 21:01:04
78.2*2*83.3,2024-11-11 03:00:55
83.2*2*75.0,2024-11-11 09:02:15
85.9*2*84.9,2024-11-11 14:57:42
85.9*2*86.9,2024-11-11 15:00:55
85.0*2*91.1,2024-11-11 21:00:54
77.2*2*94.1,2024-11-12 03:01:00
74.7*2*94.2,2024-11-12 09:00:55
84.4*2*68.1,2024-11-12 15:01:03
86.6*2*84.0,2024-11-12 16:44:06
85.5*2*84.4,2024-11-12 21:01:04
79.5*2*92.2,2024-11-13 03:00:53
76.9*2*97.5,2024-11-13 09:00:58
85.3*2*71.3,2024-11-13 15:00:53
83.1*2*97.6,2024-11-29 12:00:53
79.5*2*79.9,2024-11-29 18:01:03
83.5*2*75.7,2024-11-30 00:00:54
83.7*2*89.0,2024-11-30 06:00:54
81.1*2*97.3,2024-11-30 12:00:55
81.3*2*74.3,2024-11-30 18:01:04
83.1*2*82.3,2024-12-01 00:00:53
81.9*2*93.8,2024-12-01 06:00:58
79.5*2*94.8,2024-12-01 12:00:53
80.5*2*72.8,2024-12-01 18:01:02
82.7*2*80.2,2024-12-02 00:00:59
82.1*2*93.1,2024-12-02 06:00:56
77.7*2*95.6,2024-12-02 12:00:54
80.1*2*73.2,2024-12-02 18:01:02
83.7*2*85.3,2024-12-03 00:00:53
82.0*2*91.7,2024-12-03 06:00:56
77.4*2*97.9,2024-12-03 12:00:53
79.1*2*76.6,2024-12-03 18:01:02
84.3*2*78.4,2024-12-03 18:53:43
83.9*2*79.1,2024-12-04 00:00:58
82.1*2*85.2,2024-12-04 06:00:54
80.8*2*93.1,2024-12-04 12:00:55
81.0*2*62.2,2024-12-04 18:00:52
83.5*2*2,2024-12-05 00:01:04
81.0*2*87.8,2024-12-05 06:00:58
79.2*2*83.5,2024-12-05 09:19:34
84.4*2*69.8,2024-12-05 17:26:37
84.8*2*69.6,2024-12-05 18:00:59
83.1*2*82.7,2024-12-05 19:56:57
83.4*2*82.7,2024-12-06 00:00:56
83.4*2*89.4,2024-12-06 06:00:53
81.3*2*99.9,2024-12-06 08:35:52
81.1*2*99.9,2024-12-06 12:00:56
78.8*2*99.9,2024-12-06 18:00:54
82.0*2*75.9,2024-12-07 00:00:53
83.1*2*93.8,2024-12-07 06:00:59
81.1*2*96.0,2024-12-07 12:01:04
83.7*2*64.9,2024-12-07 17:09:06
83.3*2*64.4,2024-12-07 18:00:59
83.7*2*74.0,2024-12-08 00:00:54
82.5*2*91.4,2024-12-08 06:00:54
79.5*2*98.6,2024-12-08 12:00:55
80.1*2*66.0,2024-12-08 18:01:04
83.0*2*71.9,2024-12-09 00:00:54
81.1*2*88.8,2024-12-09 06:00:54
79.6*2*96.7,2024-12-09 12:00:54
80.6*2*77.5,2024-12-09 18:01:04
82.3*2*76.1,2024-12-10 00:00:53
79.8*2*91.3,2024-12-10 06:00:57
78.9*2*95.3,2024-12-10 12:00:53
83.1*2*70.5,2024-12-10 18:01:04
84.4*2*72.0,2024-12-11 00:00:54
83.1*2*89.0,2024-12-11 06:00:56
81.7*2*96.6,2024-12-11 12:00:53
83.9*2*67.2,2024-12-11 18:01:02
83.9*2*78.1,2024-12-12 00:00:53
81.5*2*89.6,2024-12-12 06:00:58
79.6*2*96.7,2024-12-12 12:00:56
82.5*2*78.8,2024-12-12 18:01:04
83.9*2*73.4,2024-12-13 00:00:56
83.5*2*86.9,2024-12-13 06:00:54
78.9*2*96.3,2024-12-13 12:00:55
